version,n,problem,suite,seed,success,cleared,total,source_count,omni_count,dir_count,total_time_s,avg_time_per_source_s,move_distance_m,move_time_s,measure_count,measure_time_s,switch_count,switch_time_s,clear_success,clear_fail,clear_time_s,near_count,time_component_delta_s,policy_runtime_s,error,number_discovered,number_cleared,discovered_but_not_cleared,never_discovered,reacquisition_attempts,reacquisition_successes,no_signal_after_found,deferred_targets,targets_remaining_at_exit,completed_search_points,remaining_search_points,termination_reason,local_reacquisition_move_m,local_reacquisition_measure_count,local_reacquisition_switch_count,local_reacquisition_time_s,non_reacquisition_time_s,coarse_successes,coarse_failures,intersection_attempts,fallback_targets,mec_checks,guaranteed_clear_attempts,guaranteed_clear_successes,guaranteed_clear_failures,certificate_ready_channels_at_exit
w6_persistent_bearing,27,4,random,44,1,13,13,13,10,3,6708.110231,516.0084793076923,22980.551146765756,4596.110229353151,347,1735.0,312,312.0,13,0,65.0,3,1.6468484318465926e-06,5.385953124999986,,13,13,0,0,104,31,82,4,0,25,0,all_resolved,8667.069207332204,104,74,2327.4138414664408,4380.696389533559,16,18,0,0,16,10,10,0,[]
w6_persistent_bearing,27,4,random,45,1,12,12,12,10,2,6463.815564,538.651297,21479.077812838612,4295.815562567723,353,1765.0,343,343.0,12,0,60.0,0,1.432277713320218e-06,2.8471735839999894,,12,12,0,0,87,29,67,5,0,25,0,all_resolved,8659.906859099143,87,81,2247.9813718198284,4215.834192180172,6,0,0,0,6,12,12,0,[]
w6_persistent_bearing,27,4,random,46,1,10,10,10,8,2,6945.698814,694.5698814,22858.494065964063,4571.698813192813,391,1955.0,369,369.0,10,0,50.0,2,8.071874617598951e-07,3.360454500000003,,10,10,0,0,100,31,77,6,0,25,0,all_resolved,8744.316084551336,100,82,2330.863216910267,4614.835597089734,19,0,0,0,19,8,8,0,[]
w6_persistent_bearing,27,4,random,47,1,12,12,12,1,11,8768.713284,730.726107,30948.56642229962,6189.713284459924,431,2155.0,364,364.0,12,0,60.0,2,-4.5992419472895563e-07,2.3381064579999986,,12,12,0,0,133,39,105,4,0,25,0,all_resolved,12488.6526532654,133,73,3235.73053065308,5532.98275334692,28,39,0,0,28,10,10,0,[]
w6_persistent_bearing,27,4,random,48,1,14,14,14,1,13,7905.855795,564.7039853571429,28249.27897706853,5649.855795413706,373,1865.0,321,321.0,14,0,70.0,3,-4.1370549297425896e-07,6.800007499999992,,14,14,0,0,119,39,91,5,0,25,0,all_resolved,7056.863781297439,119,72,2078.3727562594877,5827.483038740513,27,32,0,0,27,11,11,0,[]
w6_persistent_bearing,27,4,random,49,1,10,10,10,7,3,6419.742448,641.9742448,21198.71222571924,4239.742445143847,359,1795.0,335,335.0,10,0,50.0,1,2.856152605090756e-06,2.9235928340000044,,10,10,0,0,75,31,53,3,0,25,0,all_resolved,11259.144626116728,75,54,2680.8289252233453,3738.9135227766546,20,3,0,0,20,9,9,0,[]
w6_persistent_bearing,27,4,random,50,1,13,13,13,7,6,7170.995924,551.6150710769231,25114.979620643226,5022.995924128645,350,1750.0,333,333.0,13,0,65.0,1,-1.2864529708167538e-07,4.687614792000005,,13,13,0,0,80,27,61,4,0,25,0,all_resolved,4346.668302903632,80,69,1338.3336605807265,5832.662263419274,13,6,0,0,13,12,12,0,[]
w6_persistent_bearing,27,4,random,51,1,11,11,11,2,9,6687.003483,607.9094075454545,23030.017418764346,4606.003483752869,340,1700.0,326,326.0,11,0,55.0,1,-7.528688001912087e-07,1.1255349589999923,,11,11,0,0,41,13,32,2,0,25,0,all_resolved,4879.004943729816,41,34,1214.8009887459632,5472.202494254037,7,0,0,0,7,10,10,0,[]
w6_persistent_bearing,27,4,random,52,1,12,12,12,1,11,8466.205988,705.5171656666666,31036.029940533328,6207.205988106665,372,1860.0,339,339.0,12,0,60.0,0,-1.0666553862392902e-07,1.988162165999995,,12,12,0,0,79,25,61,4,0,25,0,all_resolved,8562.734018097886,79,49,2156.546803619577,6309.659184380423,18,20,0,0,18,12,12,0,[]
w6_persistent_bearing,27,4,random,53,1,14,14,14,2,12,7909.300935,564.9500667857143,26081.50467927076,5216.300935854152,444,2220.0,403,403.0,14,0,70.0,1,-8.541519491700456e-07,4.41948499999998,,14,14,0,0,172,43,141,7,0,25,0,all_resolved,8149.979629700642,172,135,2624.9959259401285,5284.305009059872,28,20,0,0,28,13,13,0,[]
w6_persistent_bearing,27,4,random,54,1,11,11,11,7,4,7159.176787,650.8342533636364,24660.88393765219,4932.176787530438,368,1840.0,332,332.0,11,0,55.0,2,-5.304373189574108e-07,3.263467792,,11,11,0,0,65,28,45,2,0,25,0,all_resolved,5148.972472996856,65,37,1391.794494599371,5767.382292400629,18,12,0,0,18,9,9,0,[]
w6_persistent_bearing,27,4,random,55,1,10,10,10,2,8,7777.04118,777.704118,24590.205900948946,4918.041180189789,479,2395.0,414,414.0,10,0,50.0,3,-1.897888068924658e-07,1.6190767909999977,,10,10,0,0,152,32,130,5,0,25,0,all_resolved,6428.912006517297,152,96,2141.7824013034597,5635.2587786965405,19,42,0,1,19,7,7,0,[]
w6_persistent_bearing,27,4,random,56,1,16,16,16,6,10,6892.157474,430.759842125,25370.787365728484,5074.157473145697,304,1520.0,218,218.0,16,0,80.0,5,8.543029252905399e-07,6.261157458000014,,16,16,0,0,174,47,141,6,0,14,0,all_resolved,13630.182994807306,174,90,3686.036598961461,3206.1208750385385,35,56,0,1,35,11,11,0,[]
w6_persistent_bearing,27,4,random,57,1,10,10,10,9,1,6883.352058,688.3352058,24296.76028915492,4859.352057830984,332,1660.0,314,314.0,10,0,50.0,0,1.6901594790397212e-07,1.3461752910000087,,10,10,0,0,41,11,34,1,0,25,0,all_resolved,3520.657784688928,41,31,940.1315569377856,5943.220501062215,6,9,0,0,6,10,10,0,[]
w6_persistent_bearing,27,4,random,58,1,14,14,14,4,10,9880.098792,705.7213422857143,36030.493974571335,7206.098794914267,456,2280.0,324,324.0,14,0,70.0,1,-2.9142665880499408e-06,8.116510083000009,,14,14,0,0,220,96,136,8,0,25,0,all_resolved,16559.555868059604,220,93,4504.911173611921,5375.1876183880795,79,60,0,1,55,13,13,0,[]
w6_persistent_bearing,27,4,random,59,1,11,11,11,4,7,7865.697559,715.0634144545455,26888.487807077483,5377.697561415496,412,2060.0,373,373.0,11,0,55.0,4,-2.41549605561886e-06,2.425791875000016,,11,11,0,0,108,25,90,5,0,25,0,all_resolved,6573.508293116393,108,76,1930.7016586232787,5934.995900376722,16,21,0,0,16,7,7,0,[]
w6_persistent_bearing,27,4,random,60,1,12,12,12,9,3,6850.022761,570.8352300833334,23555.11381426058,4711.022762852116,350,1750.0,329,329.0,12,0,60.0,1,-1.8521159290685318e-06,1.8356123339999897,,12,12,0,0,73,25,56,3,0,25,0,all_resolved,8065.954555474518,73,59,2037.1909110949036,4812.8318499050965,12,3,0,0,12,11,11,0,[]
w6_persistent_bearing,27,4,random,61,1,13,13,13,6,7,6815.410013,524.2623086923077,24092.050057534758,4818.410011506951,324,1620.0,312,312.0,13,0,65.0,1,1.4930483303032815e-06,1.845696958000019,,13,13,0,0,65,22,51,2,0,25,0,all_resolved,7444.787851508853,65,58,1871.9575703017706,4943.452442698229,8,3,0,0,8,12,12,0,[]
w6_persistent_bearing,27,4,random,62,1,14,14,14,3,11,9280.157347,662.8683819285715,32265.786725967355,6453.157345193471,471,2355.0,402,402.0,14,0,70.0,4,1.8065293261315674e-06,2.4304449580000096,,14,14,0,0,196,50,158,8,0,25,0,all_resolved,14379.093237911942,196,130,3985.8186475823886,5294.338699417612,30,44,0,1,30,10,10,0,[]
w6_persistent_bearing,27,4,random,63,1,13,13,13,2,11,8545.67722,657.3597861538461,31003.386116268663,6200.677223253732,389,1945.0,335,335.0,13,0,65.0,2,-3.2537336664972827e-06,4.668395125000018,,13,13,0,0,130,35,106,6,0,25,0,all_resolved,9018.139006300618,130,81,2534.6278012601238,6011.049418739876,20,39,0,0,20,11,11,0,[]
w6_persistent_bearing,27,4,random,64,1,13,13,13,5,8,10053.085023,773.3142325384615,35875.42515203469,7175.085030406937,504,2520.0,293,293.0,13,0,65.0,3,-7.406937584164552e-06,14.156017125000005,,13,13,0,0,254,169,95,4,0,25,0,all_resolved,19531.66111404033,254,47,5223.332222808066,4829.752800191934,154,60,0,0,62,10,10,0,[]
w6_persistent_bearing,27,4,random,65,1,13,13,13,4,9,7766.989987,597.4607682307692,27014.949916405236,5402.989983281047,388,1940.0,359,359.0,13,0,65.0,2,3.7189529393799603e-06,1.6883837080000035,,13,13,0,0,119,37,92,4,0,25,0,all_resolved,9926.71401282409,119,93,2673.342802564818,5093.647184435182,20,14,0,0,20,11,11,0,[]
w6_persistent_bearing,27,4,random,66,1,10,10,10,2,8,8272.252718,827.2252718,27386.263586938177,5477.252717387635,462,2310.0,435,435.0,10,0,50.0,0,6.123646016931161e-07,4.389793125000011,,10,10,0,0,163,36,135,8,0,25,0,all_resolved,12997.868598542525,163,140,3554.573719708505,4717.678998291494,20,9,0,0,20,10,10,0,[]
